ID_1;Gouvernorat;pop_tot;pop_M;pop_F;pop tot_Communal;pop_M Communal;pop_F communal;pop_tot_Rural;pop_M_Rural;pop_F_Rural;Tot_act_occ;pop_M_act_occ;pop_F_act_occ;pop_tot_act_occ_Communal;pop_M_act_occ_Communal;pop_F_act_occ_Communal;pop_tot_act_occ_Rural;pop_M_act_occ_Rural;pop_F_act_occ_Rural;pop_tot_act_Non_occ;pop_M_act_Non_occ;pop_F_act_Non_occ;pop_tot_act_Non_occ_Communal;pop_M_act_Non_occ_Communal;pop_F_act_Non_occ_Communal;pop_tot_act_Non_occ_Rural;pop_M_act_Non_occ_Rural;pop_F_act_Non_occ_Rural;pop_tot_Inac;pop_M_Inac;pop_F_Inac;pop_TOT_Inac_Communal;pop_M_Inac_Communal;pop_F_Inac_Communal;pop_tot_Inac_Rural;pop_M_Inac_Rural;pop_F_Inac_Rural;Tx_act_tot;Tx_act_M;Tx_act_F;Tx_act_tot_Communal;Tx_act_M_Communal;Tx_act_F_Communal;Tx_act_tot_Rural;Tx_act_M_Rural;Tx_act_F_Rural;Tx_Chomage_tot;Tx_Chomage_M;Tx_Chomage_F;Tx_Chomage_tot_Communal;Tx_Chomage_M_Communal;Tx_Chomage_F_Communal;Tx_Chomage_tot_Rural;Tx_Chomage_M_Rural;Tx_Chomage_F_Rural;Emigrant_tot;Emigrant_M;Emigrant_F;Emigrant_tot_Communal;Emigrant_M_Communal;Emigrant_F_Communal;Emigrant_tot_Rural;Emigrant_M_Rural;Emigrant_F_Rural;pop_tot_Educ_Néant;pop_tot_Educ_Prim;pop_tot_Educ_Secon;pop_tot_Educ_Sup;popM_tot_Educ_Néant;popM_tot_Educ_Prim;popM_tot_Educ_Secon;popM_tot_Educ_Sup;popF_tot_Educ_Néant;popF_tot_Educ_Prim;popF_tot_Educ_Secon;popF_tot_Educ_Sup;pop_Communal_Educ_Néant;pop_Communal_Educ_Prim;pop_Communal_Educ_Secon;pop_Communal_Educ_Sup;popM_Communal_Educ_Néant;popM_Communal_Educ_Prim;popM_Communal_Educ_Secon;popM_Communal_Educ_Sup;popF_Communal_Educ_Néant;popF_Communal_Educ_Prim;popF_Communal_Educ_Secon;popF_Communal_Educ_Sup;pop_Rural_Educ_Néant;pop_Rural_Educ_Prim;pop_Rural_Educ_Secon;pop_Rural_Educ_Sup;popM_Rural_Educ_Néant;popM_Rural_Educ_Prim;popM_Rural_Educ_Secon;popM_Rural_Educ_Sup;popF_Rural_Educ_Néant;popF_Rural_Educ_Prim;popF_Rural_Educ_Secon;popF_Rural_Educ_Sup;Célib_tot;Célib_M;Célib_F;Marié_tot;Marié_M;Marié_F;Veuf_tot;veuf_M;Veuf_F;Div_total;Div_M;Div_F;Célib_tot_Communal;Célib_M_Communal;Célib_F_Communal;Marié_tot_Communal;Marié_M_Communal;Marié_F_Communal;Veuf_tot_Communal;veuf_M_Communal;Veuf_F_Communal;Div_total_Communal;Div_M_Communal;Div_F_Communal;Célib_tot_Rural;Célib_M_Rural;Célib_F_Rural;Marié_tot_Rural;Marié_M_Rural;Marié_F_Rural;Veuf_tot_Rural;veuf_M_Rural;Veuf_F_Rural;Div_total_Rural;Div_M_Rural;Div_F_Rural;poptot_0-4 ans;pop_0-4 ans_Communal;pop_0-4 ans_Rural;popM_0-4 ans_tot;popM_0-4 ans_Communal;popM_0-4 ans_Rural;popF_0-4 ans_tot;popF_0-4 ans_Communal;popF_0-4 ans_Rural;poptot_ 5-9ans;pop_5-9ans_Communal;pop_5-9ans_Rural;popM_5-9ans_tot;popM_5-9ans_Communal;popM_5-9ans_Rural;popF_5-9ans_tot;popF_5-9ans_Communal;popF_5-9ans_Rural;poptot_10-14ans;pop_10-14ans_Communal;pop_10-14ans_Rural;popM_10-14ans_tot;popM_10-14ans_Communal;popM_10-14ans_Rural;popF_10-14ans_tot;popF_10-14ans_Communal;popF_10-14ans_Rural;poptot_15-19ans;pop_15-19ans_Communal;pop_15-19ans_Rural;popM_15-19ans_tot;popM_15-19ans_Communal;popM_15-19ans_Rural;popF_15-19ans_tot;popF_15-19ans_Communal;popF_15-19ans_Rural;poptot_20-29ans;pop_20-29ans_Communal;pop_20-29ans_Rural;popM_20-29ans_tot;popM_20-29ans_Communal;popM_20-29ans_Rural;popF_20-29ans_tot;popF_20-29ans_Communal;popF_20-29ans_Rural;poptot_30-39ans;pop_30-39ans_Communal;pop_30-39ans_Rural;popM_30-39ans_tot;popM_30-39ans_Communal;popM_30-39ans_Rural;popF_30-39ans_tot;popF_30-39ans_Communal;popF_30-39ans_Rural;poptot_40-49ans;pop_40-49ans_Communal;pop_40-49ans_Rural;popM_40-49ans_tot;popM_40-49ans_Communal;popM_40-49ans_Rural;popF_40-49ans_tot;popF_40-49ans_Communal;popF_40-49ans_Rural;poptot_50-59ans;pop_50-59ans_Communal;pop_50-59ans_Rural;popM_50-59ans_tot;popM_50-59ans_Communal;popM_50-59ans_Rural;popF_50-59ans_tot;popF_50-59ans_Communal;popF_50-59ans_Rural;poptot_60+ans;pop_60+ans_Communal;pop_60+ans_Rural;popM_60+ans_tot;popM_60+ans_Communal;popM_60+ans_Rural;popF_60+ans_tot;popF_60+ans_Communal;popF_60+ans_Rural
1;Ariana;439378;221054;218324;391876;196899;194977;47502;24155;23347;207300;139023;68277;184690;122977;61713;22610;16046;6564;26252;13586;12666;23779;12284;11495;2473;1302;1171;205826;68445;137381;183407;61638;121769;22419;6807;15612;53,16;69,04;37,08;53,2;68,7;37,55;52,81;71,82;33,13;11,24;8,9;15,65;11,41;9,08;15,7;9,86;7,51;15,14;2437;1708;729;2240;1561;679;197;147;50;53948;128542;189254;106293;17528;68741;100959;53803;36420;59801;88295;52490;46947;111213;169774;97759;15269;59248;90250;49681;31678;51965;79524;48078;7001;17329;19480;8534;2259;9493;10709;4122;4742;7836;8771;4412;151913;86609;65304;262471;130375;132096;18470;2254;16216;6524;1816;4708;135991;77337;58654;233241;115900;117341;16638;2001;14637;6006;1661;4345;15922;9272;6650;29230;14475;14755;1832;253;1579;518;155;363;54533;47842;6691;28206;24746;3460;26327;23097;3230;43516;38117;5399;22698;19958;2740;20818;18160;2658;38664;33820;4843;19981;17552;2429;18683;16269;2414;39280;34738;4541;20128;17802;2326;19152;16937;2215;101266;90619;10647;49653;44488;5164;51614;46131;5483;101923;90687;11236;50740;45123;5617;51184;45564;5620;77330;68455;8875;39098;34484;4613;38232;33970;4261;62481;55666;6815;31941;28333;3607;30540;27333;3207;57095;51711;5386;29490;26666;2827;27603;25042;2562
2;Bèja;234922;116117;118805;104349;51103;53246;130573;65014;65559;84549;65002;19547;41923;29415;12508;42626;35587;7039;18344;10206;8138;9450;4702;4748;8894;5504;3390;132029;40909;91120;52976;16986;35990;79053;23923;55130;43,8;64,77;23,3;49,23;66,76;32,41;39,46;63,2;15,91;17,83;13,57;29,39;18,39;13,78;27,52;17,26;13,39;32,51;825;627;198;508;355;153;317;272;45;75075;79131;82460;19884;27373;45110;45571;9226;47702;34021;36889;10658;20629;32510;46156;14457;6821;17316;24991;6777;13808;15194;21165;7680;54446;46621;36304;5427;20552;27794;20580;2449;33894;18827;15724;2978;80327;45296;35031;138201;68202;69998;14432;2005;12428;1962;614;1348;95101;19796;15830;168201;30183;30788;16824;801;5769;3391;323;859;44701;25500;19201;77229;38019;39210;7863;1204;6659;780;291;489;24662;10821;13840;12815;5657;7157;11847;5164;6683;21821;9656;12164;11290;5045;6244;10531;4611;5920;21632;9404;12227;11162;4802;6359;10470;4602;5868;22826;9891;12934;11634;4959;6674;11192;4932;6260;44921;20159;24762;22531;9748;12784;22389;10411;11978;45399;20477;24922;22237;9895;12343;23161;10582;12579;41628;19374;22254;20150;9512;10639;21477;9862;11615;36186;17077;19110;17931;8623;9308;18255;8454;9801;43957;17370;26590;21632;8366;13267;22328;9004;13324
3;Ben Arous;484240;240563;243677;441095;218743;222352;43145;21820;21325;215597;144564;71033;196332;130455;65877;19265;14109;5156;32566;16709;15857;29598;14984;14614;2968;1725;1243;236077;79290;156787;215165;73304;141861;20912;5986;14926;51,25;67,04;35,66;51,22;66,49;36,2;51,53;72,57;30;13,12;10,36;18,25;13,1;10,3;18,16;13,35;10,89;19,42;3675;2658;1017;3528;2549;979;147;109;38;54306;145750;232960;94271;15892;75082;124881;46948;38414;70668;108079;47323;44048;127450;216540;91825;12421;64771;115761;45872;31627;62679;100779;45953;10258;18300;16420;2446;3471;10311;9120;1076;6787;7989;7300;1370;169572;94683;74889;284863;141144;143719;22626;2778;19848;7179;1958;5221;154056;85791;68264;259482;128532;130950;20732;2559;18173;6825;1861;4965;15517;8892;6625;25381;12612;12769;1894;219;1675;353;97;256;56840;50927;5913;29384;26288;3096;27456;24639;2817;47719;42924;4795;24557;22054;2503;23162;20870;2292;43039;38763;4276;22238;20081;2157;20801;18682;2119;44293;39776;4517;22699;20406;2293;21594;19370;2224;107188;96871;10317;52574;47421;5153;54613;49449;5164;104998;95223;9774;50876;45948;4928;54121;49275;4846;87891;80357;7533;43395;39525;3870;44495;40832;3663;75443;69581;5862;38460;35467;2993;36983;34114;2869;64431;59290;5143;32560;29977;2583;31874;29314;2560
4;Bizerte;433289;216521;216768;283517;140047;143470;149772;76474;73298;171629;125642;45987;115574;80031;35543;56055;45611;10444;25893;15428;10465;17832;9888;7944;8061;5540;2521;235767;75451;160316;150111;50128;99983;85656;25323;60333;45,59;65,15;26,04;47,05;64,2;30,31;42,81;66,89;17,69;13,11;10,94;18,54;13,37;11;18,27;12,57;10,83;19,44;2377;1788;589;2054;1519;535;323;269;54;97201;158374;174997;43609;36372;85569;94919;20859;60829;72805;80078;22750;39764;101254;130933;38000;13077;52305;69989;18328;26687;48949;60944;19672;57437;57120;44064;5609;23295;33264;24930;2531;34142;23856;19134;3078;146904;84718;62186;257745;127725;130020;24528;2973;21555;4112;1105;3007;95101;53850;41251;168201;83472;84729;16824;1831;14993;3391;894;2497;51803;30868;20935;89544;44253;45290;7704;1142;6562;721;211;511;50683;32441;18242;26278;16842;9437;24405;15599;8806;43355;28363;14992;22639;14781;7858;20716;13582;7134;40892;26436;14456;21198;13652;7546;19694;12784;6910;43686;28254;15432;22346;14337;8009;21340;13917;7423;91450;59401;32050;45367;28755;16613;46083;30646;15437;86824;56452;30373;42873;27426;15448;43951;29026;14925;76564;51086;25479;38060;25270;12791;38504;25816;12688;64425;43757;20669;33089;22622;10468;31336;21135;10201;70340;44567;25769;34786;21636;13145;35554;22931;12623
5;Gabès;283098;136721;146377;198361;97096;101265;84737;39625;45112;95598;75781;19817;70726;55082;15644;24872;20699;4173;22506;10794;11712;16749;7694;9055;5757;3100;2657;164994;50146;114848;110886;34320;76566;54108;15826;38282;41,72;63,32;21,54;44,1;64,65;24,39;36,14;60,06;15,14;19,06;12,47;37,15;19,15;12,26;36,66;18,8;13,03;38,9;3445;3101;344;2277;1984;293;1168;1117;51;55096;106480;114373;33800;17015;56203;62111;15170;38081;50277;52262;18630;29480;72189;87239;28182;8867;37860;47383;12725;20613;34329;39856;15457;25616;34291;27134;5618;8148;18343;14728;2445;17468;15948;12406;3173;113805;59710;54095;152980;75234;77746;13394;1216;12178;2919;561;2358;78297;42420;35877;108226;53421;54805;9597;818;8779;2241;437;1804;35508;17290;18218;44754;21813;22941;3797;398;3399;678;124;554;34870;24681;10188;17914;12620;5294;16955;12061;4894;29685;20999;8685;15305;10821;4484;14379;10178;4201;26649;18730;7919;13777;9739;4038;12872;8991;3881;29918;20264;9653;15123;10306;4817;14794;9958;4836;68006;47565;20442;32246;23048;9198;35760;24517;11243;57738;40529;17209;26732;18978;7753;31006;21550;9456;46914;34133;12781;22501;16663;5837;24413;17469;6944;38248;27846;10401;19271;14320;4950;18977;13526;5451;42272;28024;14251;20850;13782;7071;21425;14244;7181
6;Gafsa;255819;125038;130781;190955;93849;97106;64864;31189;33675;82429;64264;18165;61221;47424;13797;21208;16840;4368;29369;15259;14110;24003;12247;11756;5366;3012;2354;144021;45515;98506;105731;34178;71553;38290;11337;26953;43,7;63,6;24,68;44,63;63,58;26,32;40,97;63,65;19,96;26,27;19,19;43,72;28,16;20,52;46,01;20,19;15,17;35,02;1570;1341;229;1292;1085;207;278;256;22;59517;84841;104374;31719;19573;45074;57968;14907;39944;39767;46406;16812;34889;62999;84030;27141;11335;32597;46493;12592;23554;30402;37537;14549;24628;21842;20344;4578;8238;12477;11475;2315;16390;9365;8869;2263;104366;54909;49457;135838;67926;67912;11854;1305;10549;3761;898;2863;76820;40936;35884;101757;51139;50618;9149;1002;8147;3229;772;2457;27546;13973;13573;34081;16787;17294;2705;303;2402;532;126;406;31143;22342;8801;15843;11343;4500;15300;10999;4301;25737;18612;7125;13052;9425;3627;12685;9187;3498;24630;18102;6528;12482;9167;3315;12148;8935;3213;26455;19142;7313;12889;9340;3549;13566;9802;3764;60524;44122;16401;28904;21163;7740;31620;22959;8661;54313;40318;13995;25906;19281;6625;28407;21037;7370;43138;33264;9874;21054;16401;4653;22084;16863;5221;34992;27851;7141;17777;14284;3493;17215;13567;3648;36399;26259;10141;18511;13381;5131;17888;12878;5010
7;Jendouba;311827;149906;161921;95920;46351;49569;215907;103555;112352;86836;68963;17873;34324;24077;10247;52512;44886;7626;29785;17676;12109;10778;5343;5435;19007;12333;6674;195206;63267;131939;50818;16931;33887;144388;46336;98052;37,4;57,8;18,51;47,02;63,47;31,63;33,12;55,26;12,73;25,54;20,4;40,39;23,9;18,16;34,66;26,58;21,55;46,67;1925;1564;361;822;622;200;1103;942;161;112667;104125;100152;24691;38936;59402;55564;11490;73731;44723;44588;13201;17906;29853;41462;15091;5218;15720;22615;7125;12688;14133;18847;7966;94761;74272;58690;9600;33718;43682;32949;4365;61043;30590;25741;5235;112013;60540;51473;178471;86242;92229;18788;2433;16355;2555;691;1864;34117;18430;15686;54930;26992;27939;5656;636;5020;1217;293;924;77896;42110;35787;123541;59250;64290;13132;1797;11335;1338;398;940;30929;9923;21006;16084;5187;10898;14845;4737;10108;28914;8759;20155;14988;4547;10442;13926;4213;9713;29807;8393;21414;15485;4326;11160;14322;4068;10254;33106;9203;23903;16645;4711;11935;16461;4493;11968;59588;17961;41627;28785;8476;20308;30803;9484;21318;56465;19134;37331;26367;8931;17435;30098;10202;19895;54089;18143;35946;25184;8755;16429;28905;9387;19517;48443;15688;32755;23335;7843;15492;25108;7844;17263;60136;15792;44344;29590;7635;21953;30546;8157;22393
8;Kairouan;414094;199031;215063;148989;72272;76717;265105;126759;138346;138242;108161;30081;56136;40408;15728;82106;67753;14353;28229;15971;12258;13375;6807;6568;14854;9164;5690;247623;74899;172724;79478;25057;54421;168145;49842;118303;40,2;62,37;19,69;46,66;65,33;29,06;36,57;60,68;14,49;16,96;12,87;28,95;19,24;14,42;29,46;15,32;11,91;28,39;2744;2438;306;1085;874;211;1659;1564;95;161462;148021;123703;27675;56536;84291;68632;13820;104926;63730;55071;13855;32349;49273;62862;20175;10202;26100;34138;9868;22147;23173;28724;10307;129113;98748;60841;7500;46334;58191;34494;3952;82779;40557;26347;3548;154488;81970;72518;233419;113510;119909;22017;2482;19536;4170;1069;3100;54307;29537;24770;84180;41334;42845;8140;840;7301;2362;561;1801;100182;52434;47748;149239;72175;77064;13877;1642;12235;1807;508;1299;58921;19670;39250;30569;10180;20389;28351;9490;18861;50656;17080;33575;26334;8800;17534;24321;8280;16041;46760;15669;31091;24246;8037;16209;22514;7632;14882;49673;16805;32867;25085;8509;16576;24587;8296;16291;92050;33149;58901;44092;15803;28289;47957;17346;30611;85550;31228;54322;40552;14890;25662;44997;16338;28659;68159;26432;41726;32307;12857;19450;35851;13575;22276;53155;20900;32254;25384;10401;14983;27770;10499;17271;65512;20475;45042;31617;9814;21803;33902;10661;23241
9;Kasserine;318062;155691;162371;141118;69108;72010;176944;86583;90361;98386;78893;19493;46335;34664;11671;52051;44229;7822;28311;15897;12414;17220;8858;8362;11091;7039;4052;191365;60901;130464;77563;25586;51977;113802;35315;78487;39,83;60,88;19,65;45,04;62,98;27,82;35,68;59,21;13,14;22,35;16,77;38,91;27,09;20,35;41,74;17,57;13,73;34,12;1512;1335;177;802;667;135;710;668;42;116277;108326;106331;24889;41008;60694;60281;13057;75269;47632;46050;11832;35831;43371;59636;17687;11500;23244;33188;8990;24331;20127;26448;8697;80446;64955;46695;7202;29508;37450;27093;4067;50938;27505;19602;3135;131374;70599;60775;167715;82479;85236;14926;1707;13219;4047;906;3141;57356;31141;26215;74410;36695;37715;6930;764;6166;2422;508;1914;74018;39458;34560;93305;45784;47521;7996;943;7053;1625;398;1227;45186;19040;26147;23207;9820;13388;21979;9220;12759;38231;15782;22450;19767;8013;11755;18464;7769;10695;37766;15408;22359;19352;7813;11540;18414;7595;10819;40671;16459;24213;20464;8315;12150;20207;8144;12063;79670;34288;45381;39032;16597;22434;40638;17691;22947;66799;30786;36013;32130;14834;17297;34669;15953;18717;50050;23724;26327;24311;11692;12620;25739;12032;13707;37362;17951;19412;18440;8957;9484;18922;8994;9928;43508;17906;25597;21312;8710;12596;22196;9195;13000
10;Kébili;118261;57854;60407;63940;31331;32609;54321;26523;27798;40657;32479;8178;23569;18252;5317;17088;14227;2861;10835;5109;5726;5792;2556;3236;5043;2553;2490;66769;20266;46503;34579;10523;24056;32190;9743;22447;43,54;64,97;23,02;45,92;66,41;26,23;40,74;63,27;19,25;21,04;13,59;41,18;19,73;12,28;37,83;22,79;15,21;46,53;1115;985;130;774;677;97;341;308;33;24190;40744;48997;14920;7967;21810;27064;6314;16223;18934;21933;8606;11576;22225;26696;9157;3550;12050;14756;3869;8026;10175;11940;5288;12614;18519;22301;5763;4417;9760;12308;2445;8197;8759;9993;3318;50161;26356;23805;60838;30724;30115;5678;465;5213;1584;309;1274;26384;13990;12394;33420;16903;16517;3172;245;2927;964;193;771;23777;12366;11411;27418;13821;13597;2506;220;2286;620;116;504;15859;8593;7266;7986;4299;3687;7873;4294;3579;12252;6632;5620;6202;3345;2857;6050;3287;2763;10588;5715;4873;5298;2894;2404;5290;2821;2469;12176;6439;5737;6184;3290;2894;5992;3149;2843;29055;14843;14212;14002;7190;6811;15054;7653;7401;26364;14462;11902;12582;6849;5733;13781;7613;6168;19266;10886;8380;9470;5379;4091;9796;5507;4289;14156;8028;6128;7043;4030;3013;7113;3998;3115;17245;9281;7964;8574;4592;3983;8671;4689;3982
11;Kef;190564;93388;97176;107930;52427;55503;82634;40961;41673;68262;51305;16957;40185;28267;11918;28077;23038;5039;15529;8322;7207;10401;5143;5258;5128;3179;1949;106773;33761;73012;57344;19017;38327;49429;14744;34685;43,97;63,84;24,86;46,87;63,72;30,95;40,18;64;16,77;18,53;13,96;29,83;20,56;15,39;30,61;15,44;12,13;27,89;1129;847;282;845;626;219;284;221;63;54801;69420;65464;18244;17656;39765;36451;8464;37145;29655;29013;9780;22350;36875;43447;14779;6561;19917;23948;6902;15789;16958;19499;7877;32451;32545;22017;3465;11095;19848;12503;1562;21356;12697;9514;1903;67896;38190;29707;107124;52904;54220;13132;1579;11553;2412;715;1696;38198;21267;16931;60379;29856;30523;7636;832;6804;1717;472;1245;29699;16923;12776;46745;23048;23697;5496;747;4749;694;243;451;18149;10310;7840;9425;5308;4116;8725;5001;3724;17082;9530;7552;8855;4934;3920;8228;4596;3632;17360;9518;7842;8945;4900;4044;8416;4618;3798;19660;10801;8860;9985;5475;4509;9676;5325;4351;36537;20408;16129;18787;10302;8485;17750;10106;7643;32904;19072;13832;15837;8963;6874;17067;10109;6957;33886;19994;13892;16286;9629;6657;17600;10365;7234;29810;17652;12158;14677;8733;5944;15133;8919;6214;37768;20005;17761;17813;9326;8491;19951;10681;9273
